Date,APPLE Adj Close, Return (%)
13/7/2009,142.34,2.757724516
14/7/2009,142.27,-0.049178024
15/7/2009,146.88,3.240317706
16/7/2009,147.52,0.435729847
17/7/2009,151.75,2.867407809
20/7/2009,152.91,0.764415157
21/7/2009,151.51,-0.915571251
22/7/2009,156.74,3.451917365
23/7/2009,157.82,0.689039173
24/7/2009,159.99,1.374984159
27/7/2009,160.1,0.068754297
28/7/2009,160,-0.062460962
29/7/2009,160.03,0.01875
30/7/2009,162.79,1.724676623
31/7/2009,163.39,0.368573008
3/8/2009,166.43,1.860578983
4/8/2009,165.55,-0.528750826
5/8/2009,165.11,-0.265780731
6/8/2009,163.91,-0.726788202
7/8/2009,165.51,0.976145446
10/8/2009,164.72,-0.477312549
11/8/2009,162.83,-1.147401651
12/8/2009,165.31,1.523060861
13/8/2009,168.42,1.881313895
14/8/2009,166.78,-0.973756086
17/8/2009,159.59,-4.311068473
18/8/2009,164,2.763331036
19/8/2009,164.6,0.365853659
20/8/2009,166.33,1.051032807
21/8/2009,169.22,1.73750977
24/8/2009,169.06,-0.094551471
25/8/2009,169.4,0.201112031
26/8/2009,167.41,-1.174734357
27/8/2009,169.45,1.218565199
28/8/2009,170.05,0.354086751
31/8/2009,168.21,-1.082034696
1/9/2009,165.3,-1.729980382
2/9/2009,165.18,-0.072595281
3/9/2009,166.55,0.829398232
4/9/2009,170.31,2.257580306
8/9/2009,172.93,1.538371205
9/9/2009,171.14,-1.035100908
10/9/2009,172.56,0.829730046
11/9/2009,172.16,-0.231803431
14/9/2009,173.72,0.906133829
15/9/2009,175.16,0.828920101
16/9/2009,181.87,3.830783284
17/9/2009,184.55,1.47358003
18/9/2009,185.02,0.25467353
21/9/2009,184.02,-0.54048211
22/9/2009,184.48,0.249972829
23/9/2009,185.5,0.552905464
24/9/2009,183.82,-0.905660377
25/9/2009,182.37,-0.788815145
28/9/2009,186.15,2.072709327
29/9/2009,185.38,-0.41364491
30/9/2009,185.35,-0.016182976
1/10/2009,180.86,-2.422444025
2/10/2009,184.9,2.233771978
5/10/2009,186.02,0.605732829
6/10/2009,190.01,2.144930653
7/10/2009,190.25,0.126309142
8/10/2009,189.27,-0.515111695
9/10/2009,190.47,0.634014899
12/10/2009,190.81,0.178505801
13/10/2009,190.02,-0.414024422
14/10/2009,191.29,0.6683507
15/10/2009,190.56,-0.381619531
16/10/2009,188.05,-1.317170445
19/10/2009,189.86,0.962509971
20/10/2009,198.76,4.687664595
21/10/2009,204.92,3.099215134
22/10/2009,205.2,0.136638688
23/10/2009,203.94,-0.614035088
26/10/2009,202.48,-0.715896832
27/10/2009,197.37,-2.523706045
28/10/2009,192.4,-2.518113188
29/10/2009,196.35,2.053014553
30/10/2009,188.5,-3.997962821
2/11/2009,189.31,0.429708223
3/11/2009,188.75,-0.295811103
4/11/2009,190.81,1.091390728
5/11/2009,194.03,1.687542582
6/11/2009,194.34,0.159769108
9/11/2009,201.46,3.663682206
10/11/2009,202.98,0.754492207
11/11/2009,203.25,0.133018031
12/11/2009,201.99,-0.619926199
13/11/2009,204.45,1.217882073
16/11/2009,206.63,1.066275373
17/11/2009,207,0.179064027
18/11/2009,205.96,-0.502415459
19/11/2009,200.51,-2.646144883
20/11/2009,199.92,-0.294249663
23/11/2009,205.88,2.981192477
24/11/2009,204.44,-0.699436565
25/11/2009,204.19,-0.122285267
27/11/2009,200.59,-1.763063813
30/11/2009,199.91,-0.33899995
1/12/2009,196.97,-1.470661798
2/12/2009,196.23,-0.37569173
3/12/2009,196.48,0.127401519
4/12/2009,193.32,-1.608306189
7/12/2009,188.95,-2.260500724
8/12/2009,189.87,0.486901297
9/12/2009,197.8,4.176541844
10/12/2009,196.43,-0.692618807
11/12/2009,194.67,-0.895993484
14/12/2009,196.98,1.186623517
15/12/2009,194.17,-1.426540766
16/12/2009,195.03,0.442910851
17/12/2009,191.86,-1.625390965
18/12/2009,195.43,1.860731784
21/12/2009,198.23,1.432738065
22/12/2009,200.36,1.074509408
23/12/2009,202.1,0.868436814
24/12/2009,209.04,3.433943592
28/12/2009,211.61,1.229429774
29/12/2009,209.1,-1.186144322
30/12/2009,211.64,1.214729794
31/12/2009,210.73,-0.42997543
4/1/2010,214.01,1.556494092
5/1/2010,214.38,0.172889117
6/1/2010,210.97,-1.590633455
7/1/2010,210.58,-0.184860407
8/1/2010,211.98,0.664830468
11/1/2010,210.11,-0.882158694
12/1/2010,207.72,-1.137499405
13/1/2010,210.65,1.410552667
14/1/2010,209.43,-0.579159744
15/1/2010,205.93,-1.671202789
19/1/2010,215.04,4.423833341
20/1/2010,211.73,-1.539248512
21/1/2010,208.07,-1.728616634
22/1/2010,197.75,-4.959869275
25/1/2010,203.07,2.690265487
26/1/2010,205.94,1.413305757
27/1/2010,207.88,0.942021948
28/1/2010,199.29,-4.132191649
29/1/2010,192.06,-3.62787897
1/2/2010,194.73,1.390190565
2/2/2010,195.86,0.580290659
3/2/2010,199.23,1.720616767
4/2/2010,192.05,-3.603874918
5/2/2010,195.46,1.775579276
8/2/2010,194.12,-0.685562263
9/2/2010,196.19,1.066350711
10/2/2010,195.12,-0.545389673
11/2/2010,198.67,1.819393194
12/2/2010,200.38,0.860723813
16/2/2010,203.4,1.507136441
17/2/2010,202.55,-0.417895772
18/2/2010,202.93,0.187607998
19/2/2010,201.67,-0.62090376
22/2/2010,200.42,-0.619824466
23/2/2010,197.06,-1.676479393
24/2/2010,200.66,1.826854765
25/2/2010,202,0.667796272
